ACCEL_XOUT_H,ACCEL_YOUT_H,ACCEL_ZOUT_H,GYRO_XOUT_H,GYRO_YOUT_H,GYRO_ZOUT_H,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,CHECKSUM,target
6052,14616,7812,-48,-7,-21,239,177,135,193,181,29329,good
6052,14592,7712,-41,13,-12,239,177,135,193,181,29241,good
6168,14336,7668,-48,6,-21,239,177,134,193,181,29033,good
6152,14596,7716,-25,21,-30,239,177,134,193,181,29354,good
6144,14580,7684,-63,-13,-7,239,177,134,193,181,29249,good
6152,14624,7820,-45,-15,-17,239,177,134,193,181,29443,good
6280,14800,7608,-43,17,-7,239,177,134,193,181,29579,good
6252,14676,7816,-46,-20,-4,239,177,134,193,181,29598,good
6256,14640,7612,-41,12,-27,239,177,134,193,181,29376,good
6368,14704,7764,-72,-27,-14,239,177,134,193,181,29647,good
6184,14856,7860,-32,20,-32,239,177,134,193,181,29780,good
5964,14696,7752,-51,15,-31,239,177,134,193,181,29269,good
6320,14636,7644,-3,37,-15,239,177,134,193,181,29543,good
6116,14800,7412,-66,-8,-15,239,177,134,193,181,29163,good
6088,14852,7636,-58,-9,-29,239,177,135,193,181,29405,good
6088,14628,7796,-39,-8,-18,239,177,134,193,181,29371,good
6204,14840,7640,-45,7,-21,239,177,135,193,181,29550,good
6180,14832,7448,-18,-3,-21,239,177,135,193,181,29343,good
5916,14892,7324,-56,-21,-26,239,177,135,193,181,28954,good
6332,14508,7600,-49,17,-28,239,177,135,193,181,29305,good
6052,14696,7820,-49,2,-14,239,177,135,193,181,29432,good
6248,14692,7456,-26,1,-16,239,177,135,193,181,29280,good
6320,14804,7340,-64,-18,-28,239,177,135,193,181,29279,good
6188,14664,7476,-50,-14,11,239,177,135,193,181,29200,good
6580,14736,7636,22,-18,-46,239,177,135,193,181,29835,good
6504,14540,7504,-16,16,-23,239,177,134,193,181,29449,good
6960,14276,6892,-44,77,98,239,177,134,193,181,29183,good
6768,14180,7108,-40,-20,-4,239,177,134,193,181,28916,good
6684,14480,7124,-69,-30,-39,239,177,134,193,181,29074,good
6792,14712,7220,-57,10,-27,239,177,134,193,181,29574,good
6648,14792,7192,-46,14,-22,239,177,134,193,181,29502,good
6300,14688,7192,-53,-256,-53,239,177,134,193,181,28742,good
6368,14964,7064,-57,9,-38,239,177,134,193,181,29234,good
6136,14744,7120,-63,-16,-20,239,177,134,193,181,28825,good
6340,14608,7248,-38,-12,-23,239,177,134,193,181,29047,good
6512,14848,7200,-39,8,-20,239,177,134,193,181,29433,good
6344,14744,7224,-32,-5,-7,239,177,135,193,181,29193,good
6444,14348,7192,-51,-8,-9,239,177,134,193,181,28840,good
6516,14864,7204,-49,-2,-25,239,177,134,193,181,29432,good
6636,14684,6972,-47,16,-29,239,177,134,193,181,29156,good
6652,14716,7372,-53,-10,-5,239,177,134,193,181,29596,good
6340,14752,7316,-49,4,-11,239,177,134,193,181,29276,good
6328,15204,7396,-53,17,-38,239,177,134,193,181,29778,good
6488,14792,7312,-26,0,-43,239,177,134,193,181,29447,good
5988,14700,7332,-28,-40,-43,239,177,134,193,181,28833,good
6004,14948,7148,-48,-4,-7,239,177,134,193,181,28965,good
6216,14884,6960,-52,9,-11,239,177,134,193,181,28930,good
6272,14988,7108,-43,-5,-9,239,177,134,193,181,29235,good
6176,14916,7172,-37,7,-22,239,177,134,193,181,29136,good
6028,14876,7304,-51,2,-21,239,177,134,193,181,29062,good
6232,14980,7184,-41,5,-8,239,177,134,193,181,29276,good
6116,14792,7760,-42,0,-9,239,177,134,193,181,29541,good
6044,14904,7284,1,11,-44,239,177,134,193,181,29124,good
5868,15004,7160,-39,-47,-45,239,177,135,193,181,28826,good
5384,14912,6844,28,18,-72,239,177,135,193,181,28039,good
5820,14916,6340,-120,-73,-40,239,177,135,193,181,27768,good
5828,15488,6324,-16,-18,-6,239,177,135,193,181,28525,good
5656,14928,6632,-58,32,-42,239,177,135,193,181,28073,good
5312,15384,6616,-49,-5,4,239,177,135,193,181,28187,good
5252,15224,6836,-60,-43,7,239,177,135,193,181,28141,good
5888,14320,7084,2,-1,88,239,177,135,193,181,28306,good
5932,15156,6636,-47,-20,-10,239,177,135,193,181,28572,good
5796,14908,6880,-60,4,-26,239,177,135,193,181,28427,good
5964,15236,6580,-46,5,-37,239,177,135,193,181,28627,good
6172,15084,6640,-30,3,-6,239,177,135,193,181,28788,good
5792,15072,6940,-44,-11,-18,239,177,135,193,181,28656,good
6068,15136,6812,-53,1,-12,239,177,135,193,181,28877,good
5956,15072,6940,-30,4,-19,239,177,135,193,181,28848,good
5960,15248,6696,-37,4,-30,239,177,135,193,181,28766,good
5876,15276,6624,-65,-5,-22,239,177,135,193,181,28609,good
6012,14944,6744,-44,0,-24,239,177,135,193,181,28557,good
6076,15084,7156,-53,-23,-5,239,177,135,193,181,29160,good
6136,15308,6672,-47,16,-16,239,177,135,193,181,28994,good
5960,15016,6924,-48,5,-24,239,177,135,193,181,28758,good
6156,14868,7120,-50,2,-14,239,177,135,193,181,29007,good
5832,14916,7028,-62,-24,-29,239,177,135,193,181,28586,good
5708,15128,6960,-22,4,-14,239,178,135,193,181,28690,good
5752,15380,6720,-52,4,-16,239,177,135,193,181,28713,good
5988,14892,6592,-45,13,-14,239,177,135,193,181,28351,good
5836,15076,7116,-61,30,-9,239,177,134,193,181,28912,good
5712,15024,6932,-29,-16,11,239,177,135,193,181,28559,good
5896,15028,6896,-60,-1,-20,239,177,135,193,181,28664,good
5804,15024,6992,-64,16,-2,239,177,135,193,181,28695,good
5788,15120,7048,-71,3,-39,239,177,134,193,181,28773,good
5964,14936,7160,-34,16,-28,239,177,134,193,181,28938,good
5708,14988,7164,-52,1,-6,239,177,135,193,181,28728,good
5768,15116,6932,-45,5,-15,241,178,135,193,181,28689,good
5828,14904,7268,-69,7,-25,241,178,135,193,181,28841,good
5808,15064,7128,-38,10,-26,241,178,135,193,181,28874,good
5716,15076,7324,-65,5,-11,241,178,135,193,181,28973,good
5928,14704,7160,-49,-12,-19,241,178,135,193,181,28640,good
5668,15128,7084,-53,10,-18,241,178,135,193,181,28747,good
6008,14908,7068,-40,2,-23,241,178,135,193,181,28851,good
5868,14940,7048,-58,10,-23,241,178,135,193,181,28713,good
5956,14900,7376,-49,-2,-32,241,178,135,193,181,29077,good
6004,14992,7188,-36,-2,5,241,178,135,193,181,29079,good
6048,14660,7172,-54,-12,-25,241,178,135,193,181,28717,good
6152,14804,7132,-50,255,-23,241,178,135,193,181,29198,good
6044,14732,7360,-48,-4,-28,241,178,135,193,181,28984,good
6008,14776,7544,-48,0,-8,240,178,135,193,181,29199,good
5896,14896,7328,-45,9,-25,240,178,135,193,181,28986,good
6144,14884,7368,-40,21,-10,241,178,135,193,181,29295,good
6120,14904,7220,-37,3,-13,241,178,135,193,181,29125,good
5992,15084,7112,-44,8,-9,241,178,135,193,181,29071,good
6072,14884,7208,-38,-2,-21,241,178,135,193,181,29031,good
6124,14688,7516,-47,6,-13,240,178,135,193,181,29201,good
6176,14872,7188,-37,-11,-14,241,178,135,193,181,29102,good
6140,14816,7292,-45,-12,-6,241,178,135,193,181,29113,good
6064,14916,7372,-42,-5,-19,241,178,135,193,181,29214,good
5968,14796,7260,-37,16,-4,241,178,135,193,181,28927,good
6084,14732,7380,-39,-8,-10,241,178,135,193,181,29067,good
6120,14864,7272,-52,15,-13,241,178,135,193,181,29134,good
6096,14956,7276,-40,-20,-6,241,178,135,193,181,29190,good
6220,14764,7324,-45,255,-18,241,178,135,193,181,29428,good
6148,14648,7276,-37,0,-22,241,178,135,193,181,28941,good
